,Accuracy,Precision,Recall,F1_Score
MULTINOMIALNB,0.94579945799458,0.937442502299908,0.9514472455648926,0.9443929564411492
LOGISTICREGRESSION,0.990063233965673,0.987906976744186,0.9915966386554622,0.9897483690587139
RANDOMFORESTCLASSIFIER,0.998193315266486,1.0,0.996265172735761,0.9981290926099158
GRADIENTBOOSTINGCLASSIFIER,0.997289972899729,0.9953488372093023,0.9990662931839402,0.9972041006523765
