,Accuracy,Precision,Recall,F1_Score
MULTINOMIALNB,0.9480578139114725,0.9377289377289377,0.9561157796451915,0.9468331021729081
LOGISTICREGRESSION,0.9905149051490515,0.9897388059701493,0.9906629318394025,0.9902006532897808
RANDOMFORESTCLASSIFIER,0.998193315266486,0.9990645463049579,0.9971988795518207,0.9981308411214953
GRADIENTBOOSTINGCLASSIFIER,0.997289972899729,0.9962721342031687,0.9981325863678805,0.9972014925373135
LSTM_model,0.993676603432701,0.9943872778297475,0.992530345471522,0.9934579439252337
